gene	mean	median	longest_isoform	merged
PJA1	2506	2477	2803	2803
CFAP206	2207	2207	2207	2207
CPSF3	2671	2614	3522	3612
LOC101928143	659	659	659	659
HEATR4	3511	3511	3551	3551
ACOT2	1451	1437	1779	2411
FHOD1	3852	3852	3891	3891
ACOT6	1137	1037	1370	1699
NCBP2L	1805	1805	1805	1805
WWTR1	5071	5036	5234	5645
PCNA	1315	1315	1355	1399
NTNG1	6178	6162	6353	6693
CCT5	3385	3342	3510	4032
MIR4505	73	73	73	73
LOC100506476	984	984	984	984
LINC02274	1174	1174	1174	1174
IFT43	905	889	1031	1858
MEN1	2850	2778	3172	3772
ENY2	2893	2900	2946	2946
ATXN1-AS1	4722	4722	4722	4722
TEX51	745	745	758	816
PLK2	2790	2790	2796	2838
DGCR6L	1172	1172	1172	1172
EPSTI1	3115	3122	3171	3171
DACT3	2793	2793	2939	3015
CCDC103	2875	3419	3446	3510
AK4	6843	6866	6998	7337
PPP1R3C	2541	2541	2541	2541
PODXL	5937	5937	5985	5985
HERC4	4127	4213	4447	7358
ZNF724	2837	2798	2920	2920
ZFPL1	1380	1380	1380	1380
FBLIM1	2843	3168	3514	3992
FNDC1	6548	6548	6548	6548
TEX35	891	883	992	1361
PRB4	817	817	923	923
MFRP	3949	3949	3949	3949
GRID1	6153	6153	6153	6153
CBX6	6025	6025	6052	6052
TM2D3	1341	1344	1395	2159
PREX1	6752	6752	6752	6752
PGA5	1380	1380	1380	1380
CHST9	11360	11360	11379	11379
TTC25	2729	2853	2954	3029
CAMK2B	3921	4055	4544	4589
PHF24	5095	5758	5854	5971
NEMP2	6149	6149	6172	6172
CERS3	3966	3924	4161	4290
MIR4709	72	72	72	72
TYMP	1664	1674	1770	1858
CAPN6	3532	3532	3532	3532
FN3K	1393	1393	1393	1393
CORO1C	3906	3927	3945	4270
PROX2	3537	3537	3878	3878
CCNB1	2030	2027	2056	2167
CXCL8	1157	1157	1642	1940
SEMA6C	3917	3893	3989	3989
NME8	2307	2307	2307	2307
C2orf88	4016	4013	4054	4455
UTS2B	2395	2395	2395	2395
NEUROD1	2463	2703	3002	7065
TARBP1	5206	5206	5206	5206
GNG2	3558	3569	3573	3573
TEKT2	1490	1490	1490	1490
KCNK13	2289	2289	2289	2289
RTL3	2649	2649	2649	2649
ABCA13	17188	17188	17188	17188
LINC01220	488	488	488	488
TMPO	3919	3911	4181	6993
EGR4	2220	2220	2220	2220
EGR1	3137	3137	3137	3137
GLRX	1218	1220	1500	1658
LOC102724153	2143	2143	2143	2143
CLUL1	2020	1938	2217	2433
PSMB8-AS1	1365	1346	1498	1586
GPATCH2L	6181	3860	14021	26661
SWAP70	4796	4796	4883	4883
VASH1-AS1	1763	1763	1843	1843
SERPINA5	2278	2278	2278	2278
SLC9C1	3757	3975	4119	4123
LINC01629	581	581	581	581
LINC02288	2939	2939	2939	2939
LINC02289	1817	1817	1817	1817
GCKR	2188	2188	2188	2188
SAMD1	2193	2193	2193	2193
OCIAD1	1960	1960	2068	2332
PET117	1150	1150	1150	1150
RPL23	2706	2706	2706	2706
LPAR6	2520	2523	2969	3021
PSAT1	2137	2137	2206	2206
CROT	2578	3205	3289	4075
CDC42EP2	1962	1962	1962	1962
NF2	5168	5868	6074	7301
DDX60	6015	6015	6015	6015
LOC105370586	656	656	656	656
DIO2-AS1	1595	1595	1595	1595
IBSP	1572	1572	1572	1572
EFNA5	5372	5372	5372	5372
KLHL26	2883	3139	4448	4740
TNR	12722	12722	12774	12774
RPL29	754	754	754	754
BPHL	2022	2012	2160	2608
SNORA79	140	140	140	140
LOC101928504	2050	2050	2050	2050
CD81	1438	1438	1497	1678
LINC02308	637	637	637	637
LINC01467	1187	1187	1187	1187
LINC02311	383	383	383	383
LINC02301	428	428	428	428
SNORD3P3	130	130	130	130
LINC02329	511	511	511	511
LINC00911	491	491	546	591
FLRT2	18260	20688	33935	35563
LINC02328	738	738	738	738
LINC01148	1763	1763	1763	1763
LINC02330	555	555	555	555
LINC01147	426	426	426	426
LINC01146	831	831	831	831
HSPA12B	3099	3130	3133	3133
C6orf15	1156	1156	1156	1156
PTPMT1	2505	2505	2548	2740
AP3M1	5004	4963	5309	5457
RILPL1	3449	3665	4021	5197
CIC	6849	6849	8227	8334
ZC3H3	3270	3270	3270	3270
RAB21	15558	15558	15558	15558
ZBTB18	3965	3877	4274	4515
DPYSL3	5268	5268	5492	5636
ATP5PF	1188	1210	1816	1816
BCORL1	7238	7238	7349	7349
GRIN2C	3924	4266	4271	4910
PHLDB1	5490	5445	5754	5839
USP17L4	1593	1593	1593	1593
USP17L1	1593	1593	1593	1593
USP17L8	1593	1593	1593	1593
GPRIN2	6898	6898	6898	6898
PGAP1	11099	11090	11174	11174
C1QTNF7	4417	4465	4466	4759
CNIH2	1381	1374	1400	1400
DNAAF1	2062	2062	2388	2610
SPNS1	2064	2049	2205	2205
KIAA1671	10494	10494	10494	10494
NPPA	855	855	855	855
NKX6-1	1116	1116	1116	1116
NPVF	1188	1188	1188	1188
FOXN3-AS1	1077	1077	1077	1077
FOXN3-AS2	1261	1261	1261	1261
ELOVL5	2557	2875	3232	3952
EFCAB11	2563	2713	3172	4763
SMIM2	1215	1215	1215	1215
MSX2	2209	2209	2224	2224
MST1R	4579	4665	4771	4771
LINC02317	730	730	1035	1286
LINC00642	709	709	709	709
LOC105370619	307	307	307	307
TTC7B	11476	11476	19471	19522
LOC101928909	1242	1242	1242	1242
LOC105370622	1954	1954	1954	1954
MAGT1	4263	4263	4506	4639
RBM48	4735	4708	4831	4872
MRPL43	1120	894	2135	2928
MRPL14	959	929	1160	1404
RSPH1	1242	1242	1299	1299
KLK9	1401	1401	1401	1401
DGLUCY	2830	2940	3476	4916
PARP15	4491	4397	5002	5166
SNORA11B	127	127	127	127
MEPE	2082	2070	2205	2301
TNC	8499	8499	8499	8499
MPPE1	3303	3330	3498	3591
PHACTR1	4084	4834	5369	9820
ZBTB22	2653	2653	2660	2738
KIFC2	3312	3312	3352	3352
KLK14	948	1023	1054	1156
SNHG9	233	233	233	233
SNHG11	1087	1087	1087	1087
MPC2	2188	2187	2223	2321
APOO	1037	1037	1116	1116
GSTM3	4086	4086	4122	4127
HRK	5959	5959	6129	6129
MTMR12	4952	4954	5116	5116
OPN1MW2	1283	1283	1283	2566
MARCHF5	3922	3922	3922	3922
DKK2	3654	3654	3654	3654
MAP2K4	3792	3792	3809	3809
LINC02287	1384	1384	1384	1384
ITPK1-AS1	4682	4682	4682	4682
MAD2L2	1102	1102	1152	1262
UNC79	6605	9041	9121	10811
PHB2	1354	1354	1379	1468
OLFML2A	6267	6267	6565	6777
NAP1L5	1917	1917	1917	1917
FAM181A-AS1	2398	2398	2398	2398
TMEM191C	1307	1307	1307	1307
ASB1	6739	6739	6891	6891
MIR4506	77	77	77	77
CCDC197	1587	1570	1937	3311
PCDHGA8	4495	4495	5503	5669
RGS6	5717	5695	6227	6883
CYP26B1	4443	4443	4556	4556
TCP11X2	1747	1747	1747	3494
PNCK	1652	1593	2104	2806
KIAA1109	15575	15575	15575	15575
WNT7A	3991	3991	3991	3991
OR7C2	960	960	960	960
TRPC6	4691	4691	4691	4691
CABP2	1012	1012	1014	1014
ARHGAP26	9140	9218	9395	9544
SERPINA2	995	995	1060	1060
EIF3J	2428	2411	2479	2558
ARHGAP45	5277	5323	5476	7230
SERPINA13P	1718	1718	1718	1718
GSC-DT	2226	2226	2226	2226
ZNF404	1840	1840	1840	1840
ARSJ	4638	4603	4804	4900
GPATCH1	3337	3337	3483	3613
HERC5	3511	3511	3511	3511
MIR3173	68	68	68	68
DICER1-AS1	803	803	803	803
DNAJB4	2830	2902	3095	3728
LINC02292	1701	1701	1701	1701
SYNE3	13493	13493	13501	13501
SNHG10	1645	1645	1961	1961
SCARNA13	275	275	275	275
LINC02318	1044	1044	1374	1968
TCL6	1830	1830	2388	2939
CASP6	1519	1557	1634	1634
ENPP3	3097	3097	3165	3165
LOC107984703	1858	1858	1858	1858
CES2	3123	3006	3911	4176
OTUD5	2721	2787	2903	3077
INTS13	2632	2632	2632	2632
LOC730202	679	679	679	679
IMPA1	3417	3369	3597	3599
VPS37C	2673	2673	2673	2673
AKIRIN2	1898	1898	1898	1898
IARS2	3530	3530	3530	3530
TMEM169	3354	3320	3461	3461
PLS3	3372	3286	3663	3896
LINC02299	430	430	430	430
LINC00618	361	361	361	361
LINC02304	445	445	445	445
LINC02325	842	842	1169	1572
LINC02291	1670	1670	1670	1670
LINC02312	3046	3046	3046	3046
LINC01550	1898	2187	2469	5501
CORT	914	914	914	914
RASA3	4346	4203	4669	4822
MIR6764	61	61	61	61
HSF4	1918	1918	2224	2238
COA3	780	780	780	780
CDC42EP3	5019	5007	5096	5479
GLT8D1	2147	2150	2379	2574
NUP58	4218	4218	4236	4236
OXR1	3901	4463	4702	5408
LINC00523	1627	1627	1627	1627
SYN3	7837	7864	8097	8241
LSM10	860	860	860	860
MIR2392	84	84	84	84
ING3	2477	2477	3747	4568
TP53I3	1413	1635	1653	2034
PXDC1	2194	2194	2194	2194
DPP3	2628	2657	2660	2660
POC1B	2970	2964	3080	3270
CTAGE1	4317	4317	4317	4317
CNNM2	11235	15791	15857	16131
ARHGEF1	3177	3174	3229	3280
LINC02719	409	409	409	409
LINC02760	376	376	376	376
LINC02737	406	406	406	406
LINC02746	1763	1763	1763	1763
LINC02711	679	679	679	679
LINC02732	1340	1340	1340	1340
SNORD112	77	77	77	77
SNORD113-1	70	70	70	70
SNORD113-2	71	71	71	71
SNORD113-3	71	71	71	71
SNORD113-4	74	74	74	74
SNORD113-5	77	77	77	77
SNORD113-6	74	74	74	74
SNORD113-7	76	76	76	76
SNORD113-8	73	73	73	73
SNORD113-9	71	71	71	71
SNORD114-1	71	71	71	71
SNORD114-2	77	77	77	77
SNORD114-3	74	74	74	74
SNORD114-4	104	104	104	104
SNORD114-5	69	69	69	69
SNORD114-6	71	71	71	71
SNORD114-7	76	76	76	76
SNORD114-8	71	71	71	71
SNORD114-9	71	71	71	71
SNORD114-10	71	71	71	71
SNORD114-11	74	74	74	74
SNORD114-12	74	74	74	74
SNORD114-13	73	73	73	73
SNORD114-14	74	74	74	74
SNORD114-15	71	71	71	71
SNORD114-16	69	69	69	69
SNORD114-17	74	74	74	74
SNORD114-18	71	71	71	71
SNORD114-19	74	74	74	74
SNORD114-20	71	71	71	71
SNORD114-21	71	71	71	71
SNORD114-22	71	71	71	71
SNORD114-23	71	71	71	71
SNORD114-24	71	71	71	71
SNORD114-25	71	71	71	71
SNORD114-26	71	71	71	71
SNORD114-27	69	69	69	69
SNORD114-28	71	71	71	71
SNORD114-29	69	69	69	69
SNORD114-30	71	71	71	71
SNORD114-31	74	74	74	74
MEAF6	4729	4779	4854	4912
MCOLN2	3093	3093	3143	3143
MIR1197	88	88	88	88
MIR329-1	80	80	80	80
MIR329-2	84	84	84	84
MIR1193	78	78	78	78
MIR376B	100	100	100	100
CACNA1I	9949	9949	10002	10002
MIR1185-1	85	85	85	85
MIR1185-2	85	85	85	85
MIR381HG	425	425	425	425
MIR889	79	79	79	79
MIR544A	91	91	91	91
FOXD4L4	1251	1251	1251	2502
UNC13D	4392	4392	4392	4392
MIR369	70	70	70	70
MEG9	2640	2640	2640	2640
LINC02285	946	946	946	946
LINC00524	418	418	418	418
LINC02314	515	515	515	515
DIO3OS	1183	1007	1933	2467
LINC00239	642	642	642	642
ZSCAN25	4351	4356	4555	7879
NBEAL2	8722	8722	8842	8930
JPH3	2452	2000	4381	5037
OTOL1	1434	1434	1434	1434
CHRNB4	2106	2106	2596	2596
SPIN2A	1319	1319	1319	1319
HACD4	8379	8430	8430	8583
CCDC83	2310	2310	2357	2357
GJA3	5213	5213	5213	5213
SLC35G1	3121	3268	3488	6353
GRB14	2257	2257	2415	2596
LRRC37B	3369	3369	3697	3982
SELENOH	1302	1302	1417	1437
ACTC1	1382	1382	1382	1382
MIR4309	83	83	83	83
LINC02323	1603	1603	1603	1603
DAP	2279	2279	2301	2301
OTOG	8974	8974	8992	9053
CRYAA	1088	1088	1139	1318
JUN	3257	3257	3257	3257
MMP26	994	994	994	994
CPNE6	2115	2115	2235	2235
LINC00677	484	484	484	484
LINC00605	1558	1558	1558	1558
LOC105378183	341	341	341	341
SNORA28	126	126	126	126
MINDY4B	2052	2052	2052	2052
DLGAP4	4205	4393	5060	5988
TMEM9	1742	1674	2045	2471
USP17L5	1593	1593	1593	12744
TMEM273	1719	1679	2029	2029
MIR539	78	78	78	78
MIR584	97	97	97	97
MIR573	99	99	99	99
MIR577	96	96	96	96
MIR567	98	98	98	98
MIR564	94	94	94	94
RBM5	3140	3140	3177	3177
LILRB2	2598	2784	2866	3162
MGARP	1224	1224	1224	1224
STX10	1288	1302	1394	1394
LINC00637	2056	2056	2056	2056
WIF1	1977	1977	1977	1977
RAET1L	1344	1344	1344	1344
PTPRS	6660	6634	7356	7356
TTL	9536	9536	14267	14267
TRIM65	3351	3351	3384	3384
TCEA1	2717	2745	3153	3153
LINC02280	3816	3816	3816	3816
MIR4710	56	56	56	56
IL1B	1503	1503	1503	1503
IL1A	2034	2034	2052	2103
CD55	2484	2679	2708	3259
HOXB7	1362	1362	1362	1362
ARHGAP35	9289	9289	9289	9289
HNRNPU	6828	6828	6867	6867
ZNF480	4663	4624	4745	4751
SKP1	6042	6042	9386	10155
TMEM31	732	732	732	732
ENAM	5311	5311	5679	5758
LINC00638	2518	2518	2518	2518
TMIGD2	1142	1254	1266	1266
RPS15	580	580	626	687
DEFB114	312	312	312	312
DEFB110	316	316	397	531
CLBA1	2362	2362	2379	3756
DLEC1	6425	6886	6895	6898
FCF1	4370	4370	4400	4400
LINC02298	903	903	903	903
H3-4	481	481	481	481
ZGRF1	6653	6653	6740	6740
MIR6765	87	87	87	87
JUND	1929	1929	1929	1929
HOXC11	3261	3261	3261	3261
MMADHC	1392	1392	1392	1392
ATF6	7470	7470	7470	7470
AP4E1	6754	6754	6766	6766
PDCD6	1033	1077	1167	2064
C19orf38	1210	1210	1210	1210
CCDC157	3840	4832	4907	5766
LOC100507437	1514	1514	1582	1582
HNRNPUL2	5214	5214	5214	5214
RHBDL3	4732	4640	5003	5143
LOC105370697	2014	2014	2014	2014
MIR8071-1	65	65	65	130
MIR8071-2	65	65	65	130
ELK2AP	792	792	792	792
MIR4507	52	52	52	52
MIR4538	56	56	78	78
MIR4537	69	69	70	138
MIR4539	21	21	21	42
ADAM6	1843	1843	1843	1843
LINC00226	595	595	595	595
LINC00221	1753	1753	1753	1753
CHEK2P2	864	864	864	864
HERC2P3	4278	4278	4278	4278
GOLGA8CP	5282	5282	5282	5282
NBEAP1	548	548	548	548
MIR3118-2	75	75	75	150
MIR3118-3	75	75	75	150
MIR3118-4	75	75	75	150
ORC1	3147	3154	3166	3169
POTEB2	1582	1582	1687	3374
POTEB	1582	1582	1687	3374
POTEB3	1951	1951	2025	5034
NF1P2	966	966	966	1932
MIR5701-2	82	82	82	164
MIR5701-3	82	82	82	164
LINC01193	3402	3402	3402	3402
LINC02203	836	574	1622	3093
FAM30C	2639	2639	2639	2639
LOC646214	8226	8226	8226	8226
CXADRP2	2458	2458	2458	2458
HAT1	1614	1614	1634	1670
LOC101927079	1231	1231	1365	1436
CHI3L2	1443	1440	1475	1586
GRM1	6797	6801	6916	7052
SLC17A9	3549	3549	3580	3580
OR4N3P	934	934	934	934
IGHV1OR15-1	557	557	557	557
LOC102724760	557	557	557	557
IGHV1OR15-3	657	657	657	657
MIR1268A	52	52	52	156
REREP3	804	804	804	804
MIR4509-1	94	94	94	282
MIR4509-2	94	94	94	282
MIR4509-3	94	94	94	282
GOLGA8DP	5339	5339	5339	5339
C3orf20	2986	2889	3286	3286
C7orf31	3610	3600	3770	3770
HACL1	1871	1830	2009	2009
ZFYVE9	5109	5109	5195	5200
PSEN1	6012	6012	6018	6018
PALMD	2334	2334	2334	2334
TMEM104	3238	3238	4703	4733
BOD1L2	3324	3324	3324	3324
SERINC4	2408	2408	2494	2535
ZC3H4	6140	6140	6140	6140
JMJD6	3524	3524	5226	5709
TRIM9	4638	4638	4926	6909
SP6	3723	3723	3824	3868
ANKRD27	4432	4432	4432	4432
RAPH1	5254	3328	9699	11060
TASOR	8071	8177	8454	8928
LOC283683	1445	1445	1445	1445
WHAMMP3	3588	3588	3588	3588
GOLGA8IP	1899	1899	1899	1899
HERC2P2	6075	6075	6075	6075
HERC2P7	1764	1764	1764	1764
TNNI3	841	841	841	841
GOLGA8EP	5269	5269	5269	5269
MIR4508	70	70	70	70
ADGRG7	2723	2723	3128	3269
PWRN4	618	618	618	618
PWRN2	4295	4295	4295	4295
PWRN3	849	849	849	849
PWRN1	1438	1438	1438	1438
GNE	5086	5056	5262	5347
PIANP	2489	2418	2711	2992
CGA	756	756	803	803
SLC19A2	3321	3321	3610	3636
CLTA	1030	1040	1168	1236
UBL3	4317	4317	4317	4317
STAC3	1395	1395	1645	1645
LINC01619	2324	2315	2443	2604
CCDC144NL-AS1	2101	1706	3371	4857
RPH3AL	2596	2605	2719	2754
DSC3	7641	7641	7699	7699
SNORD107	75	75	75	75
PWARSN	1797	1797	1797	1797
PWAR5	3373	3373	3373	3373
SNORD64	67	67	67	67
SNORD108	69	69	69	69
SNORD109B	67	67	67	134
SNORD109A	67	67	67	134
SNORD116-1	97	97	97	97
SNORD116-2	97	97	98	195
SNORD116-3	97	97	97	194
SNORD116-9	97	97	97	194
SNORD116-4	98	98	98	98
SNORD116-5	97	97	97	194
SNORD116-7	97	97	97	194
SNORD116-6	98	98	98	98
SNORD116-8	97	97	97	97
SNORD116-10	104	104	104	104
SNORD116-11	94	94	94	94
SNORD116-12	94	94	94	94
SNORD116-13	94	94	94	94
SNORD116-14	94	94	94	94
SNORD116-15	94	94	94	94
SNORD116-16	94	94	94	94
SNORD116-19	94	94	94	188
SNORD116-17	94	94	94	188
SNORD116-18	94	94	94	94
SNORD116-20	94	94	94	94
SNORD116-21	94	94	94	94
SNORD116-22	94	94	94	94
SNORD116-23	94	94	94	94
SNORD116-24	94	94	94	94
SNORD116-25	94	94	94	94
SNORD116-26	98	98	98	98
SNORD116-27	94	94	94	94
SNORD116-28	93	93	93	93
SNORD116-29	85	85	85	85
SNORD116-30	85	85	85	85
IPW	4498	4498	4498	4498
PWAR1	2412	2412	2412	2412
SNORD115-1	82	82	82	82
SNORD115-2	82	82	82	82
SNORD115-3	82	82	82	82
SNORD115-4	82	82	82	82
SNORD115-5	80	79	82	240
SNORD115-9	81	82	82	243
SNORD115-10	81	82	82	406
SNORD115-12	81	82	82	243
SNORD115-6	82	82	82	82
SNORD115-7	82	82	82	82
SNORD115-8	82	82	82	82
SNORD115-11	82	82	82	328
SNORD115-29	82	82	82	328
SNORD115-36	82	82	82	328
SNORD115-43	82	82	82	328
SNORD115-13	82	82	82	82
SNORD115-14	81	81	81	81
SNORD115-15	81	81	82	163
SNORD115-16	82	82	82	82
SNORD115-17	82	82	82	246
SNORD115-18	82	82	82	246
SNORD115-19	82	82	82	246
SNORD115-20	82	82	82	82
SNORD115-21	81	82	82	245
SNORD115-22	82	82	82	82
PWAR4	342	342	342	342
SNORD115-23	82	82	82	82
SNORD115-24	71	71	71	71
SNORD115-25	82	82	82	82
SNORD115-26	82	82	82	82
SNORD115-27	76	76	76	76
SNORD115-28	74	74	74	74
SNORD115-30	82	82	82	82
SNORD115-31	82	82	82	82
SNORD115-32	82	82	82	82
SNORD115-33	82	82	82	82
SNORD115-34	82	82	82	82
SNORD115-35	82	82	82	82
SNORD115-37	82	82	82	82
SNORD115-38	82	82	82	82
SNORD115-39	82	82	82	82
SNORD115-40	82	82	82	82
SNORD115-41	82	82	82	82
SNORD115-42	82	82	82	82
SNORD115-44	82	82	82	82
SNORD115-45	53	53	53	53
SNORD115-46	71	71	71	71
SNORD115-47	33	33	33	33
SNORD115-48	76	76	76	76
USP17L24	1593	1593	1593	12744
COQ9	1630	1630	1630	1630
TMEM150B	924	924	983	983
NPM2	1174	1100	1490	1697
GPALPP1	3784	3442	5695	8005
SLC43A2	8195	8145	8440	8790
NOS3	2834	2457	4366	5156
NAA80	1316	1319	1464	1504
LETM2	2706	2744	2976	4234
ZNF382	8323	8323	8336	8336
LAMC1	7929	7929	7929	7929
MIR4715	79	79	79	79
LINC02346	1967	1967	1967	1967
LINC00929	952	952	1181	1485
PRAMEF17	1579	1579	1580	3158
ZNF879	3750	3730	4303	4303
TBC1D23	3672	3672	3695	3695
GABRG3-AS1	850	850	850	850
CCDC91	2554	2559	2786	2940
CLEC5A	3467	3467	3502	3502
ZNF215	3241	3543	3698	5048
LAMB4	4521	4809	5859	6647
C20orf27	1435	1392	1706	2077
MAP1S	3356	3356	3424	3565
HERC2P11	2290	2290	2290	2290
HERC2P9	2948	2948	2948	2948
NPIPA3	1098	1098	1098	2196
WHAMMP2	5246	5246	5246	5246
LOC100289656	895	895	895	895
PDCD6IPP2	2100	2100	2100	2100
AK5	3364	3364	3448	3805
TARBP2	1457	1454	1510	1714
NSMAF	3541	3541	3573	3791
MICA	1305	1335	1370	1443
LOC100130111	2580	2580	2580	2580
EXD1	3121	3121	3249	3249
VPS39	4838	4838	4855	4855
MYO7A	7431	7449	7483	7563
FBXL15	2362	2362	2362	2362
SPHKAP	6890	6890	6954	6955
BRD8	3181	3000	4028	4675
C1orf35	1380	1380	1470	1470
PRR15L	1523	1523	1523	1523
ULK4P1	876	876	876	2628
ULK4P2	876	876	876	2628
ULK4P3	1146	1146	1146	1146
SOX5	6930	7104	7384	7770
LINC02249	4260	4260	4260	4260
HDLBP	6141	6308	6519	6954
DNM1P50	1051	1051	1051	2102
C16orf78	1087	1087	1087	1087
CDCP2	2043	2043	2045	2799
LOC102725021	2402	1588	3947	5266
ZNF646	6892	6892	6892	6892
HMGN2	1940	1940	1940	1940
LOC105369728	512	512	512	512
LOC646652	4624	4624	4624	4624
OSGEPL1	1979	1976	2226	2563
LOC100288637	5651	5650	5750	5878
HERC2P10	638	638	638	638
DHRS3	1708	1549	2202	2837
ECI1	1480	1480	1506	1506
CTRL	1165	1165	1165	1165
LINC02352	1030	1030	1030	1030
RNASE13	1631	1631	1631	1631
DOP1A	7978	7978	7995	8022
NMU	780	782	816	1066
INSR	9445	9445	9463	9463
AGAP9	2387	2387	2387	4774
WHAMMP1	1567	1567	1567	1567
LINC02256	1234	1234	1234	1234
LOC101928042	563	563	563	563
ZNF730	2326	2326	2326	2326
ISL2	1831	1831	1831	1831
ABTB2	4905	4905	4905	4905
LOC105370757	461	461	461	461
LOC100131315	585	585	585	585
BTBD19	1572	1572	1572	1572
TMCO5B	857	857	857	857
LOC101928134	471	471	478	560
FZD6	3530	3646	3728	3872
BEX2	963	964	1117	1120
NCOA1	7318	7397	7437	7859
UNC50	1204	1173	1286	1308
STK17A	3918	3918	3918	3918
IDH3A	4079	4079	4079	4079
LIF	3781	3781	3871	3871
LCP1	3643	3643	3643	3643
NTN3	2188	2188	2188	2188
NTF4	999	999	999	999
NRL	3542	3625	3731	4186
BCOR	6596	6599	6908	7238
MIR1233-1	82	82	82	164
MIR1233-2	82	82	82	164
GNGT1	659	659	661	661
ST8SIA2	5620	5620	5655	5655
GOLGA8B	6062	6062	6518	6787
LINC02252	487	487	487	487
LOC101928174	2727	2727	2727	2727
PPIAL4H	2571	2571	2574	5142
ANP32AP1	738	738	738	738
MIR3942	109	109	109	109
TREX1	1207	1207	1318	1436
DPH6-DT	1477	1477	1477	1477
MIR4510	68	68	68	68
TP53BP1	10442	10443	10520	10789
TET3	11626	11626	12059	12169
CDC25C	2123	2091	2269	2570
CSNK1A1P1	1690	1690	1690	1690
LOC145845	2987	2987	2987	2987
RPL37	5327	5327	7572	7572
YPEL1	4488	4488	4680	4680
MIR8063	81	81	81	81
ERN2	3259	3259	3337	3337
IDI2	1355	1355	1355	1355
LINC02345	405	405	405	405
LINC01852	1483	1278	2200	2437
CFAP20	1372	1372	1464	1464
LOC105370941	2711	2711	2711	2711
TBC1D9	5554	5554	5554	5554
SRP14-AS1	1655	1621	2819	3320
BUB1B-PAK6	3837	3837	3879	3879
KLF13	4048	4048	6845	7141
ATP6V1D	1599	1599	1599	1599
RWDD1	5503	5499	5627	5627
GDI1	2240	2240	2240	2240
TEX50	812	812	812	812
TMEM35B	925	925	925	925
CYP4F2	2361	2361	2361	2361
RAB3D	4239	4239	4239	4239
SLITRK6	4248	4248	4248	4248
KRTAP4-2	776	776	776	776
FAM71B	2515	2515	2515	2515
KDM7A	9220	9220	9220	9220
GINS3	2161	2200	2317	2317
PWWP2B	2458	2458	2610	2610
KNDC1	3685	2766	7021	11335
IRAIN	5356	5356	5356	5356
ABHD17B	2371	2371	3117	3273
MRPL42P5	667	667	667	667
FBXL7	4457	4457	4580	4869
FGF12	5763	5763	6174	6377
KCNH5	11184	11184	11283	11283
LY96	538	538	552	615
LDLR	4939	5050	5173	5173
TEX52	947	1115	1162	1162
SPINT1-AS1	677	636	780	907
LOC105370943	600	600	600	600
MIR941-2	72	72	72	216
MIR941-1	72	72	72	144
SEMA4D	4415	4460	4872	7326
LINC01703	882	882	882	882
CAMTA1-AS2	463	451	507	743
CERNA2	1857	1857	1857	1857
RRN3P1	1609	1609	1609	1609
RNF122	1872	1872	1872	1872
CCDC102B	2783	2783	2855	2957
DPH3P1	1626	1626	1626	1626
SSC4D	2800	2800	2800	2800
BAIAP2	3182	3244	3350	4896
MIR626	94	94	94	94
SMAD6	3894	3894	3960	3960
TRAF3IP3	1923	2174	2347	2983
PIK3R6	3254	3290	3422	3564
DIAPH1-AS1	2477	2477	2477	2477
GOLGA4	7797	7797	7806	7872
IMMT	2989	2998	3001	3001
SETDB1	3811	4412	4418	4716
VIRMA	5072	5072	6477	6733
MIR4310	57	57	57	57
LOC105370792	3003	3003	3003	3003
EHD4-AS1	1174	1174	1174	1174
PLA2G4E-AS1	2499	2499	2499	2499
HHAT	3480	3530	3639	3896
ARL10	6228	6228	10826	11819
ATP2A1	3406	3496	3538	3590
ARRDC3	4274	4258	4422	4927
CMTM5	903	869	1163	1163
SLC25A15	3821	3821	3821	3821
MIR627	97	97	97	97
KRTAP9-2	1005	1005	1005	1005
AGRN	7415	7392	7530	8103
ST8SIA6	6979	6994	7063	7063
UNC93B1	2293	2293	2293	2293
PAGE4	784	784	790	827
KAZALD1	1943	1746	3232	4171
MICALCL	6038	6038	6038	6038
MAEL	1755	1735	1833	2011
C8orf76	1310	1310	1310	1310
PPP1R15B	5276	5276	5276	5276
FAM222A	3685	3685	3685	3685
MRPL38	1358	1358	1358	1358
RBM25	6813	6813	6813	6813
IFRD2	2109	2109	2109	2109
HACD3	3226	3226	3226	3226
PARP12	2950	2950	3021	3021
DEFA1	498	498	498	996
P2RY14	2523	2523	2588	2715
DLK2	1761	1738	2040	2194
TMEM62	2520	2538	2800	3088
TM9SF4	3904	3904	4040	4054
TSN	3263	3307	3327	3515
WDR47	4361	4355	4376	4376
H4C14	396	396	396	792
H4C13	364	364	364	364
ANAPC5	2491	2535	2574	2681
YARS1	3117	3117	3117	3117
PPP1R13B	5499	5499	5499	5499
ZNF20	2996	2996	3001	3001
JADE1	5283	5646	5831	8681
CMC2	10097	10139	10269	10684
IMMP2L	1636	1624	2130	4285
MRPS22	1214	1205	1236	1407
MGST3	1157	1157	1157	1157
ZNF17	2705	2705	2733	2733
TNNT2	1143	1135	1268	1312
TOR1AIP1	4052	4052	4054	4054
FCGR1B	1772	1626	2187	2871
SEMA7A	3329	3334	3376	3496
CYTOR	668	677	841	1235
LOC107984974	2426	2515	2638	4061
SETD6	2933	2943	2946	3015
PPRC1	5043	5221	5328	5374
SERTAD4	3707	5189	5222	5465
PPIP5K1P1-CATSPER2	5282	5282	5282	5282
